Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at,Document tags
"A man must not only consider how daily his life wasteth and decreaseth, but this also, that if he live long, he cannot be certain, whether his understanding shall continue so able and sufficient",Meditations,Marcus Aurelius,,,yellow,,location,158,2026-03-04T06:00:00Z,
"Thou must hasten therefore; not only because thou art every day nearer unto death than other, but also because that intellective faculty in thee, whereby thou art enabled to know the true nature of things, and to order all thy actions by that knowledge, doth daily waste and decay",Meditations,Marcus Aurelius,,,pink,,location,183,2026-03-04T13:00:00Z,
"whatsoever it is that naturally doth happen to things natural, hath somewhat in itself that is pleasing and delightful",Meditations,Marcus Aurelius,,,blue,,location,192,2026-03-04T20:00:00Z,
"as a great loaf when it is baked, some parts of it cleave as it were, and part asunder, and make the crust of it rugged and unequal, and yet those parts of it, though in some sort it be against the art and intention of baking itself, that they are thus cleft and parted, which should have been and were first made all even and uniform, they become it well nevertheless, and have a certain peculiar property, to stir the appetite.",Meditations,Marcus Aurelius,,,yellow,,location,195,2026-03-05T03:00:00Z,
"So figs are accounted fairest and ripest then, when they begin to shrink, and wither as it were. So ripe olives, when they are next to putrefaction, then are they in their proper beauty.",Meditations,Marcus Aurelius,,,yellow,,location,206,2026-03-05T10:00:00Z,
"if a man shall with a profound mind and apprehension, consider all things in the world, even among all those things which are but mere accessories and natural appendices as it were, there will scarce appear anything unto him, wherein he will not find matter of pleasure and delight.",Meditations,Marcus Aurelius,,,yellow,,location,217,2026-03-05T17:00:00Z,
"So will he be able to perceive the proper ripeness and beauty of old age, whether in man or woman: and whatsoever else it is that is beautiful and alluring in whatsoever is, with chaste and continent eyes he will soon find out and discern.",Meditations,Marcus Aurelius,,,yellow,,location,227,2026-03-06T00:00:00Z,
"not credible unto every one, but unto them only who are truly and familiarly acquainted, both with nature itself, and all natural things.",Meditations,Marcus Aurelius,,,yellow,,location,234,2026-03-06T07:00:00Z,
"That inward mistress part of man if it be in its own true natural temper, is towards all worldly chances and events ever so disposed and affected, that it will easily turn and apply itself to that which may be, and is within its own power to compass, when that cannot be which at first it intended.",Meditations,Marcus Aurelius,,,yellow,,location,238,2026-03-06T14:00:00Z,
"it doth prosecute it with exception and reservation; so that whatsoever it is that falls out contrary to its first intentions, even that afterwards it makes its proper object.",Meditations,Marcus Aurelius,,,yellow,,location,249,2026-03-06T21:00:00Z,
"Even as the fire when it prevails upon those things that are in his way; by which things indeed a little fire would have been quenched, but a great fire doth soon turn to its own nature, and so consume whatsoever comes in his way: yea by those very things it is made greater and greater.",Meditations,Marcus Aurelius,,,yellow,,location,253,2026-03-07T04:00:00Z,
"Let nothing be done rashly, and at random, but all things according to the most exact and perfect rules of art.",Meditations,Marcus Aurelius,,,orange,,location,261,2026-03-07T11:00:00Z,
"They seek for themselves private retiring places, as country villages, the sea-shore, mountains; yea thou thyself art wont to long much after such places.",Meditations,Marcus Aurelius,,,yellow,,location,263,2026-03-07T18:00:00Z,
"At what time soever thou wilt, it is in thy power to retire into thyself, and to be at rest, and free from all businesses.",Meditations,Marcus Aurelius,,"The retiring: ten minutes, door shut, before the inbox.",pink,,location,269,2026-03-08T01:00:00Z,
"A man cannot any whither retire better than to his own soul; he especially who is beforehand provided of such things within, which whensoever he doth withdraw himself to look in, may presently afford unto him perfect ease and tranquillity.",Meditations,Marcus Aurelius,,,yellow,,location,272,2026-03-08T08:00:00Z,
"By tranquillity I understand a decent orderly disposition and carriage, free from all confusion and tumultuousness.",Meditations,Marcus Aurelius,,,yellow,,location,278,2026-03-08T15:00:00Z,
"Let these precepts be brief and fundamental, which as soon as thou dost call them to mind, may suffice thee to purge thy soul throughly",Meditations,Marcus Aurelius,,,yellow,,location,283,2026-03-08T22:00:00Z,
all reasonable creatures are made one for another? and that it is part of justice to bear with them? and that it is against their wills that they offend?,Meditations,Marcus Aurelius,,,yellow,,location,294,2026-03-09T05:00:00Z,
"how many already, who once likewise prosecuted their enmities, suspected, hated, and fiercely contended, are now long ago stretched out, and reduced unto ashes?",Meditations,Marcus Aurelius,,Every grudge I hold has this expiry date.,yellow,,location,298,2026-03-09T12:00:00Z,
It is time for thee to make an end.,Meditations,Marcus Aurelius,,,yellow,,location,302,2026-03-09T19:00:00Z,
"how quickly all things that are, are forgotten, and what an immense chaos of eternity was before, and will follow after all things: and the vanity of praise, and the inconstancy and variableness of human judgments and opinions",Meditations,Marcus Aurelius,,,yellow,,location,325,2026-03-10T02:00:00Z,
"For the whole earth is but as one point; and of it, this inhabited part of it, is but a very little part; and of this part, how many in number, and what manner of men are they, that will commend thee?",Meditations,Marcus Aurelius,,,yellow,,location,333,2026-03-10T09:00:00Z,
"keep thyself from distraction, and intend not anything vehemently, but be free and consider all things, as a man whose proper object is Virtue, as a man whose true nature is to be kind and sociable, as a citizen, as a mortal creature.",Meditations,Marcus Aurelius,,,yellow,,location,341,2026-03-10T16:00:00Z,
"the things or objects themselves reach not unto the soul, but stand without still and quiet, and that it is from the opinion only which is within, that all the tumult and all the trouble doth proceed.",Meditations,Marcus Aurelius,,Opinion is the only place the trouble lives.,pink,,location,351,2026-03-10T23:00:00Z,
"This world is mere change, and this life, opinion.",Meditations,Marcus Aurelius,,,pink,,location,362,2026-03-11T06:00:00Z,
